trial_number,params,fold_rmses,mean_rmse
32,"{'lookback': 29, 'filters': 66, 'kernel_size': 3, 'lstm_units': 64, 'dense_units': 50, 'dropout_rate': 0.2697847388383272, 'learning_rate': 0.005733244619618724, 'l2_reg': 0.00011452181939095473, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008650590874972495), np.float64(0.006586834917215516), np.float64(0.006845511317876758), np.float64(0.012524809698309955), np.float64(0.010253302317390921)]",0.00897220982515313
37,"{'lookback': 45, 'filters': 53, 'kernel_size': 4, 'lstm_units': 32, 'dense_units': 40, 'dropout_rate': 0.35704712479391515, 'learning_rate': 0.0040176205842150925, 'l2_reg': 0.0008821901196082115, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008424951714948187), np.float64(0.006645344008630163), np.float64(0.00689553394356706), np.float64(0.012520455349472657), np.float64(0.010248072049946391)]",0.008946871413312891
41,"{'lookback': 44, 'filters': 52, 'kernel_size': 4, 'lstm_units': 41, 'dense_units': 40, 'dropout_rate': 0.30831012093345833, 'learning_rate': 0.009600583148672289, 'l2_reg': 0.0008467252828912126, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008420836152943688), np.float64(0.006611587736996303), np.float64(0.006878940396300844), np.float64(0.01250719462076668), np.float64(0.010327193157364826)]",0.008949150412874468
42,"{'lookback': 51, 'filters': 47, 'kernel_size': 4, 'lstm_units': 58, 'dense_units': 55, 'dropout_rate': 0.3633804800179869, 'learning_rate': 0.0034585061129437686, 'l2_reg': 0.0006311853434076357, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00846954158832591), np.float64(0.006594682582199889), np.float64(0.006915202408998825), np.float64(0.012615215606290173), np.float64(0.010314291325707685)]",0.008981786702304498
43,"{'lookback': 42, 'filters': 55, 'kernel_size': 4, 'lstm_units': 32, 'dense_units': 44, 'dropout_rate': 0.4013216049632952, 'learning_rate': 0.004156251482330045, 'l2_reg': 0.0002864243525496291, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.008411361473232452), np.float64(0.006603419691146602), np.float64(0.006832668026829311), np.float64(0.012511244155671895), np.float64(0.010329841920111028)]",0.008937707053398258
44,"{'lookback': 41, 'filters': 63, 'kernel_size': 4, 'lstm_units': 43, 'dense_units': 44, 'dropout_rate': 0.49853170734777086, 'learning_rate': 0.006876662540586937, 'l2_reg': 0.00030618983047759897, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008407797442899002), np.float64(0.0066433024195154036), np.float64(0.006909292931251768), np.float64(0.012538159621197899), np.float64(0.010320286561853494)]",0.008963767795343514
46,"{'lookback': 37, 'filters': 56, 'kernel_size': 3, 'lstm_units': 55, 'dense_units': 52, 'dropout_rate': 0.46161666162702053, 'learning_rate': 0.007158509440693553, 'l2_reg': 9.837232501893562e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00844295341323949), np.float64(0.00661526398941696), np.float64(0.00685421120605196), np.float64(0.01255862574797267), np.float64(0.010227514651571328)]",0.00893971380165048
47,"{'lookback': 34, 'filters': 40, 'kernel_size': 4, 'lstm_units': 243, 'dense_units': 52, 'dropout_rate': 0.4679809838217473, 'learning_rate': 0.0069947378927196465, 'l2_reg': 0.00017731069842916568, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008480216440294992), np.float64(0.006595332581790131), np.float64(0.006908707436372493), np.float64(0.01251472002699819), np.float64(0.010304344361920532)]",0.008960664169475269
53,"{'lookback': 20, 'filters': 79, 'kernel_size': 3, 'lstm_units': 54, 'dense_units': 53, 'dropout_rate': 0.3710802602677987, 'learning_rate': 0.001121658408992273, 'l2_reg': 6.583645469540294e-05, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.008505255445601075), np.float64(0.006629753545411165), np.float64(0.006959559194845012), np.float64(0.01480156555829095), np.float64(0.010278830342378042)]",0.00943499281730525
54,"{'lookback': 16, 'filters': 57, 'kernel_size': 3, 'lstm_units': 70, 'dense_units': 51, 'dropout_rate': 0.3243679604605936, 'learning_rate': 0.005356219475159128, 'l2_reg': 0.00018506408029056343, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00841061202469618), np.float64(0.006624899847626119), np.float64(0.006890426205962214), np.float64(0.012677423921461269), np.float64(0.010226636542060961)]",0.00896599970836135
