trial_number,params,fold_rmses,mean_rmse
32,"{'lookback': 50, 'filters': 63, 'kernel_size': 2, 'lstm_units': 88, 'dense_units': 52, 'dropout_rate': 0.42851085536563865, 'learning_rate': 0.0038090103958070085, 'l2_reg': 0.000562731247897844, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(50.36437803239635), np.float64(45.37616792126168), np.float64(45.619538450631765), np.float64(49.89259467162179), np.float64(45.140271538932446)]",47.27859012296881
33,"{'lookback': 46, 'filters': 81, 'kernel_size': 2, 'lstm_units': 74, 'dense_units': 43, 'dropout_rate': 0.3893862418591649, 'learning_rate': 0.002527707759992913, 'l2_reg': 0.0007461271046101121, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(52.741161393746005), np.float64(47.99034901467849), np.float64(51.79527016347845), np.float64(46.80419314055723), np.float64(43.9533402998675)]",48.65686280246554
42,"{'lookback': 41, 'filters': 65, 'kernel_size': 2, 'lstm_units': 86, 'dense_units': 49, 'dropout_rate': 0.3844321431725583, 'learning_rate': 0.0036098578053705118, 'l2_reg': 0.0009666202709791103, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(47.99101718744212), np.float64(48.46494897946968), np.float64(45.85661837776584), np.float64(46.56585715877924), np.float64(43.95197528074022)]",46.56608339683942
43,"{'lookback': 40, 'filters': 67, 'kernel_size': 2, 'lstm_units': 84, 'dense_units': 48, 'dropout_rate': 0.38338396292961263, 'learning_rate': 0.0033784381358378363, 'l2_reg': 0.0009333981720696363, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(51.07702367864867), np.float64(44.90068157534616), np.float64(47.519712752774964), np.float64(51.08006610969936), np.float64(49.177831803183096)]",48.751063183930455
44,"{'lookback': 42, 'filters': 74, 'kernel_size': 2, 'lstm_units': 98, 'dense_units': 44, 'dropout_rate': 0.4109323145873998, 'learning_rate': 0.0030915123573219236, 'l2_reg': 0.0008330113518608382, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(45.61524671045539), np.float64(46.56425874489979), np.float64(52.270018106115984), np.float64(44.66650385347758), np.float64(46.56427577249819)]",47.13606063748939
48,"{'lookback': 58, 'filters': 66, 'kernel_size': 2, 'lstm_units': 106, 'dense_units': 53, 'dropout_rate': 0.3898692182781777, 'learning_rate': 0.004848544637842098, 'l2_reg': 0.00033304971366198457, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(45.14075815235924), np.float64(47.276970938423794), np.float64(49.42027102884149), np.float64(50.841761631221566), np.float64(45.3773665501542)]",47.611425660200055
50,"{'lookback': 30, 'filters': 69, 'kernel_size': 2, 'lstm_units': 93, 'dense_units': 58, 'dropout_rate': 0.25936682376215797, 'learning_rate': 0.004281256467170067, 'l2_reg': 0.0009945167038575941, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(53.69214266858096), np.float64(45.85125592854122), np.float64(52.03186860190413), np.float64(48.94076809135497), np.float64(45.6140998650397)]",49.2260270310842
52,"{'lookback': 44, 'filters': 75, 'kernel_size': 2, 'lstm_units': 113, 'dense_units': 42, 'dropout_rate': 0.4150769407599445, 'learning_rate': 0.0022935987985342986, 'l2_reg': 0.0008483661870908513, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(52.26508907029191), np.float64(47.040116228831636), np.float64(51.08246352350703), np.float64(48.46666175250329), np.float64(44.42748586814156)]",48.656363288655086
58,"{'lookback': 60, 'filters': 65, 'kernel_size': 4, 'lstm_units': 85, 'dense_units': 62, 'dropout_rate': 0.38395167638123834, 'learning_rate': 0.003961245161904665, 'l2_reg': 0.0002379625421402805, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(47.275607046905456), np.float64(48.4640149402776), np.float64(50.60682521652537), np.float64(49.18027486188144), np.float64(41.577534625528266)]",47.42085133822363
59,"{'lookback': 34, 'filters': 69, 'kernel_size': 2, 'lstm_units': 105, 'dense_units': 47, 'dropout_rate': 0.34231361808883026, 'learning_rate': 0.0011592907553979331, 'l2_reg': 0.0009107560477908684, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(50.36528499855053), np.float64(48.226446971826626), np.float64(49.181861902408706), np.float64(44.90322361125974), np.float64(50.840752988817115)]",48.70351409457254
